Item Name,Market Price,Market Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour
<Item.Item object at 0x000001B35ED0EF60>,14300,7200.0,4883.5,0.6782638888888889,2.4,7325250.0
<Item.Item object at 0x000001B35ED0EEF0>,448,448.0,-69.44,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED0EDA0>,2310,966.0,985.95,1.0206521739130434,2.4,1478925.0000000002
<Item.Item object at 0x000001B35ED0EFD0>,12300,9240.0,1153.5,0.12483766233766234,2.4,1730250.0
<Item.Item object at 0x000001B35ED0EE48>,483,483.0,-74.86500000000001,-0.15500000000000003,0.0,0.0
<Item.Item object at 0x000001B35ED27208>,1160,678.0,302.19999999999993,0.4457227138643067,3.6,302199.99999999994
<Item.Item object at 0x000001B35ED27320>,2680,856.0,1408.6,1.6455607476635512,3.6,1408599.9999999998
<Item.Item object at 0x000001B35ED27240>,1270,734.0,339.14999999999986,0.4620572207084467,3.6,339149.9999999999
<Item.Item object at 0x000001B35ED27358>,3550,2060.0,939.75,0.45618932038834953,3.6,939750.0000000001
<Item.Item object at 0x000001B35ED273C8>,4190,2660.0,880.5499999999997,0.33103383458646607,2.4,1320824.9999999998
<Item.Item object at 0x000001B35ED27470>,96000,23784.0,57336.0,2.4106962663975784,2.4,86004000.0
<Item.Item object at 0x000001B35ED27518>,1700,850.0,586.5,0.69,2.4,879750.0
<Item.Item object at 0x000001B35ED27588>,13600,6800.0,4692.0,0.69,2.4,7038000.0
<Item.Item object at 0x000001B35ED27630>,425,425.0,-65.875,-0.155,0.0,0.0
<Item.Item object at 0x000001B35ED27668>,120,57.6,43.79999999999999,0.7604166666666665,2.4,65699.99999999999
<Item.Item object at 0x000001B35ED276D8>,48,48.0,-7.439999999999998,-0.15499999999999994,0.0,0.0
<Item.Item object at 0x000001B35ED27550>,5850,3120.0,1823.25,0.584375,2.4,2734875.0
<Item.Item object at 0x000001B35ED277B8>,468,468.0,-72.54000000000002,-0.15500000000000005,0.0,0.0
<Item.Item object at 0x000001B35ED274A8>,1690,1050.0,378.04999999999995,0.360047619047619,2.4,567074.9999999999
