Item Name,Course of Action,Market Price,Cheapest Buy/Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour,Last Updated
Rough Emerald,Market Buy,9150,9150.0,-1418.25,-0.155,0.0,0.0,2020-02-26 10:22:09.973069
Rough Mud Crystal,Market Buy,3440,3440.0,-533.2000000000003,-0.15500000000000008,0.0,0.0,2020-02-26 10:22:13.729023
Salt,Market Buy,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0,2019-08-01 01:11:05.260446
Shining Fluid Collector,Market Buy,20000,20000.0,-3100.0,-0.155,0.0,0.0,2020-02-26 10:13:10.384526
Shining Steel Butcher Knife,Craft,287000,143652.0,98863.0,0.6882117896026508,1812.0,196416.55629139073,2020-02-26 10:13:11.020823
Shining Steel Hoe,Market Buy,67000,67000.0,-10385.0,-0.155,0.0,0.0,2020-02-26 10:13:11.643162
Shining Steel Lumbering Axe,Market Buy,9250,9250.0,-1433.75,-0.155,0.0,0.0,2020-02-26 10:13:12.274825
Shining Steel Pickaxe,Market Buy,9000,9000.0,-1395.0,-0.155,0.0,0.0,2020-02-26 10:13:12.918103
Shining Steel Tanning Knife,Market Buy,11000,11000.0,-1705.0,-0.155,0.0,0.0,2020-02-26 10:13:13.578346
Ship License: Fishing Boat,Craft,5850000,1551940.0,3391310.0,2.1852069023286984,90732.0,134557.99497420975,2020-02-26 10:13:14.241565
Silver Azalea,Market Buy,217,217.0,-33.63500000000002,-0.15500000000000008,0.0,0.0,2020-02-26 10:10:50.956926
Spirit's Leaf,Market Buy,2250,2250.0,-348.75,-0.155,0.0,0.0,2020-02-26 10:09:39.388017
Steel,Craft,8000,4272.0,2488.0,0.5823970037453183,9.6,933000.0000000001,2019-08-01 00:40:47.673397
Steel Taritas Armor,Craft,299000,162980.0,89675.0,0.550220885998282,2.4,134512500.0,2020-02-26 10:13:14.887846
Steel Taritas Gloves,Craft,224000,126524.0,62756.0,0.4960007587493282,26.4,8557636.363636365,2020-02-26 10:13:15.643827
Steel Taritas Helmet,Craft,263000,73780.0,148455.0,2.012130658715099,2.4,222682500.0,2020-02-26 10:13:16.291086
Steel Taritas Shoes,Craft,224000,111980.0,77300.0,0.6903018396142169,2.4,115950000.00000001,2020-02-26 10:13:16.995208
Sturdy Acacia Plywood,Craft,225000,172862.50569476082,17262.494305239175,0.09986257133007863,16.920273348519363,3672811.793214862,2020-02-26 10:13:17.676389
Sturdy Ash Plywood,Craft,341000,164878.13211845103,123266.86788154897,0.7476241166596437,21.150341685649202,20981255.57350565,2020-02-26 10:13:18.491204
